date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2003:48:20%20GMT	http://embed.typeform.com/next/embed.js	D:/works/My%20website/Mark/embed.typeform.com/next/embed.31.delayed	(from https://www.designdetail.io/shift-package)
10:48:19	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	D:/works/My%20website/Mark/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.designdetail.io/)
10:48:20	1609406/1609406	---M-Z	200	added ('OK')	text/javascript	etag:%2259f54540606079e6b6733a4c574bd544%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/js/webflow.be63b3d79.js	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/js/webflow.be63b3d79.js	(from https://www.designdetail.io/)
10:48:21	52084/52084	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d629ef562cc210623a586e3a97c4c601%22	https://embed.typeform.com/next/embed.js	D:/works/My%20website/Mark/embed.typeform.com/next/embed.js	(from https://www.designdetail.io/shift-package)
10:48:21	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2020%20Apr%202023%2003:48:22%20GMT	https://www.designdetail.io/%22https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62b47d7e82c80190150617ec_VideoBoxFront1-2-poster-00001.jpg%22	D:/works/My%20website/Mark/www.designdetail.io/_https_/assets.website-files.com/6005c2342dc6cd27d99bb17b/62b47d7e82c80190150617ec_VideoBoxFront1-2-poster-00001.33.delayed	(from https://www.designdetail.io/shift-package)
10:48:22	111569/111569	---M--	200	added ('OK')	image/jpeg	etag:%229dcb3d7f4e474672be32ef54c8637f8c%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c8a0c6cfd8e09d498cd_Screenshot%202022-07-12%20at%2011.53.41.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c8a0c6cfd8e09d498cd_Screenshot%202022-07-12%20at%2011.53.41.jpg	(from https://www.designdetail.io/shift-package)
10:48:23	67395/67395	---M--	200	added ('OK')	image/jpeg	etag:%226062bbe999022b4ae3c3f94821012650%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5ca752cc07f1237d68f7_Screenshot%202022-07-12%20at%2012.02.13.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5ca752cc07f1237d68f7_Screenshot%202022-07-12%20at%2012.02.13.jpg	(from https://www.designdetail.io/shift-package)
10:48:23	51161/51161	---M--	200	added ('OK')	image/jpeg	etag:%22d412347686e6cbdcba211875189d8a2b%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c67308c026fc1e6e7c4_Screenshot%202022-07-12%20at%2012.07.15.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c67308c026fc1e6e7c4_Screenshot%202022-07-12%20at%2012.07.15.jpg	(from https://www.designdetail.io/shift-package)
10:48:24	98011/98011	---M--	200	added ('OK')	image/jpeg	etag:%22e0392d176a4f2d7ac9e8efb402ff83ea%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c7ca8042577c2839481_Screenshot%202022-07-12%20at%2011.50.45.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c7ca8042577c2839481_Screenshot%202022-07-12%20at%2011.50.45.jpg	(from https://www.designdetail.io/shift-package)
10:48:24	58208/58208	---M--	200	added ('OK')	image/jpeg	etag:%22f56ab875ea2099399c90b8677a04d586%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/601ae318be7d71aa6422396f_PPFMode.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/601ae318be7d71aa6422396f_PPFMode.jpg	(from https://www.designdetail.io/shift-package)
